Name,Title,Date,Company
Andrew R. Jassy,President and Chief Executive Officer (Principal Executive Officer) and Director,"2024-02-01",Amazon
Brian T. Olsavsky,Senior Vice President and Chief Financial Officer (Principal Financial Officer),"2024-02-01",Amazon
Shelley L. Reynolds,"Vice President, Worldwide Controller (Principal Accounting Officer)","2024-02-01",Amazon
Jeffrey P. Bezos,Executive Chair,"2024-02-01",Amazon
Keith B. Alexander,Director,"2024-02-01",Amazon
Edith W. Cooper,Director,"2024-02-01",Amazon
Jamie S. Gorelick,Director,"2024-02-01",Amazon
Daniel P. Huttenlocher,Director,"2024-02-01",Amazon
Judith A. McGrath,Director,"2024-02-01",Amazon
Indra K. Nooyi,Director,"2024-02-01",Amazon
Jonathan J. Rubinstein,Director,"2024-02-01",Amazon
Brad D. Smith,Director,"2024-02-01",Amazon
Patricia Q. Stonesifer,Director,"2024-02-01",Amazon
Wendell P. Weeks,Director,"2024-02-01",Amazon
Sundar Pichai,Chief Executive Officer and Director (Principal Executive Officer),"2023-02-02",Alphabet
Ruth M. Porat,Senior Vice President and Chief Financial Officer (Principal Financial Officer),"2023-02-02",Alphabet
Amie Thuener O'Toole,Vice President and Chief Accounting Officer (Principal Accounting Officer),"2023-02-02",Alphabet
Frances H. Arnold,Director,"2023-02-02",Alphabet
Sergey Brin,Co-Founder and Director,"2023-02-02",Alphabet
R. Martin Chávez,Director,"2023-02-02",Alphabet
L. John Doerr,Director,"2023-02-02",Alphabet
Roger W. Ferguson Jr.,Director,"2023-02-02",Alphabet
John L. Hennessy,"Director, Chair","2023-02-02",Alphabet
Ann Mather,Director,"2023-02-02",Alphabet
Larry Page,Co-Founder and Director,"2023-02-02",Alphabet
K. Ram Shriram,Director,"2023-02-02",Alphabet
Robin L. Washington,Director,"2023-02-02",Alphabet
